Machine,TaskProcessingTime
1,90
1,81
2,62
2,81
2,52
3,64
3,86
3,52
4,66
4,83
4,11
4,9
5,74
5,45
5,45
5,8
6,94
6,74
7,92
7,85
8,15
8,98
8,41
8,11
9,53
9,38
9,53
9,54
10,96
10,37
10,34
