Machine,TaskProcessingTime
2,48
2,47
3,52
3,41
4,2
4,69
4,5
5,53
5,12
5,5
5,2
5,5
6,5
6,2
6,47
6,21
6,47
7,40
7,35
8,41
8,35
8,41
9,68
9,2
9,1
9,1
9,1
9,1
9,2
10,47
10,48
