Machine,TaskProcessingTime
1,7
1,85
1,3
1,4
1,18
1,2
2,75
2,18
2,20
2,16
3,42
3,53
3,19
3,6
4,82
4,56
5,60
5,16
5,25
5,26
6,57
6,57
6,4
7,69
7,53
8,98
8,52
9,60
9,68
10,80
10,37
